"lang","total_mentions","positive_count","neutral_count","negative_count","avg_sentiment_score","avg_engagement_score","viral_count","share_of_voice","top_influencer_id","brand_name","date"
"en","8","4","3","1","0.677540548145771","4.9375","0","0.8889","1027952807679324161","VinFast","2026-05-03"
"en","1","0","1","0","0.6703060269355774","0.0","0","0.0323","1136166056609796096","BMW","2026-04-08"
"en","1","1","0","0","0.7545012831687927","24.5","0","0.5","436429668","VinFast","2026-03-27"
"en","15","8","6","1","0.7236760795116425","12.6","0","0.7895","2011805517648482304","VinFast","2026-04-10"
"en","3","1","2","0","0.6273220678170522","2.3333333333333335","0","0.1034","1702442948800196608","BYD","2026-04-17"
"en","1","1","0","0","0.5901826024055481","1.5","0","0.0323","1501558600136892416","Ford","2026-04-09"
"en","1","1","0","0","0.7646243572235107","26.0","0","0.125","1814446047785299969","Toyota","2026-04-24"
"en","2","1","1","0","0.5987420082092285","4.75","0","0.0645","1053879252032999424","Tesla","2026-04-09"
"en","118","31","57","30","0.7433587537478592","5.851694915254237","0","0.0759","1707214899922022400","Toyota","2026-05-11"
"en","19","6","11","2","0.6791674149663824","69.39473684210526","1","1.0","1978396460715851776","VinFast","2026-04-13"
