"author_id","author_username","author_is_blue_verified","author_followers","author_following","author_statuses_count","author_influence_ratio","is_bot_flag","top_brands"
"1001838417158778880","carsly","true","371","395","4786","0.9392405063291139","false",
"1003242284","JaredAina","false","7","27","39","0.25925925925925924","false","[Tesla]"
"100338867","Tranjo","false","115","601","9350","0.1913477537437604","false","[Ford]"
"100449262","7okesh","false","167","51","16662","3.2745098039215685","false","[VinFast]"
"100484028","basq0x","true","3437","1181","35403","2.9102455546147334","false","[Tesla]"
"1006013064","patel_grv","true","1182","1005","10557","1.1761194029850746","false","[VinFast]"
"100718468","MouteihChaghlil","false","317","667","1036","0.4752623688155922","false",
"1009046263025713153","PAnuraghe","false","3","11","147","0.2727272727272727","false","[Tesla]"
"1009417611329695744","mengkudu_masam","false","155","224","10240","0.6919642857142857","false","[BYD]"
"1011199447492018177","KNeeleshh","false","278","439","4306","0.6332574031890661","false","[VinFast]"
